Entity,Year,Electricity cost (USD per kWh)
Afghanistan,2024,0.05
Albania,2024,0.12
Algeria,2024,0.04
Angola,2024,0.01
Argentina,2024,0.08
Armenia,2024,0.11
Aruba,2024,0.21
Australia,2024,0.26
Austria,2024,0.34
Azerbaijan,2024,0.05
Bahamas,2024,0.35
Bahrain,2024,0.05
Bangladesh,2024,0.06
Barbados,2024,0.31
Belarus,2024,0.08
Belgium,2024,0.4
Belize,2024,0.22
Bermuda,2024,0.47
Bhutan,2024,0.01
Bosnia and Herzegovina,2024,0.1
Botswana,2024,0.09
Brazil,2024,0.16
Bulgaria,2024,0.15
Burkina Faso,2024,0.21
Cambodia,2024,0.15
Cameroon,2024,0.08
Canada,2024,0.12
Cape Verde,2024,0.33
Cayman Islands,2024,0.41
Chile,2024,0.21
China,2024,0.08
Colombia,2024,0.2
Costa Rica,2024,0.17
Croatia,2024,0.17
Cuba,2024,0.02
Cyprus,2024,0.34
Czechia,2024,0.35
DR Congo,2024,0.06
Denmark,2024,0.36
Dominican Republic,2024,0.12
Ecuador,2024,0.1
Egypt,2024,0.02
El Salvador,2024,0.25
Estonia,2024,0.29
Eswatini,2024,0.12
Ethiopia,2024,0.01
Finland,2024,0.18
France,2024,0.28
Gabon,2024,0.2
Georgia,2024,0.07
Germany,2024,0.4
Ghana,2024,0.13
Greece,2024,0.25
Guatemala,2024,0.29
Honduras,2024,0.24
Hong Kong,2024,0.19
Hungary,2024,0.11
Iceland,2024,0.17
India,2024,0.08
Indonesia,2024,0.09
Iran,2024,0.0
Iraq,2024,0.01
Ireland,2024,0.44
Israel,2024,0.18
Italy,2024,0.42
Ivory Coast,2024,0.13
Jamaica,2024,0.28
Japan,2024,0.23
Jordan,2024,0.09
Kazakhstan,2024,0.06
Kenya,2024,0.22
Kuwait,2024,0.04
Kyrgyzstan,2024,0.01
Laos,2024,0.03
Latvia,2024,0.28
Lesotho,2024,0.1
Liechtenstein,2024,0.41
Lithuania,2024,0.27
Luxembourg,2024,0.25
Madagascar,2024,0.13
Malawi,2024,0.09
Malaysia,2024,0.05
Maldives,2024,0.1
Mali,2024,0.22
Malta,2024,0.15
Mauritius,2024,0.13
Mexico,2024,0.11
Moldova,2024,0.17
Morocco,2024,0.12
Mozambique,2024,0.13
Myanmar,2024,0.03
Namibia,2024,0.14
Nepal,2024,0.04
Netherlands,2024,0.29
New Zealand,2024,0.21
Nicaragua,2024,0.18
Nigeria,2024,0.04
North Macedonia,2024,0.13
Norway,2024,0.15
Oman,2024,0.03
Pakistan,2024,0.07
Panama,2024,0.17
Paraguay,2024,0.05
Peru,2024,0.19
Philippines,2024,0.2
Poland,2024,0.23
Portugal,2024,0.23
Qatar,2024,0.03
Romania,2024,0.19
Russia,2024,0.07
Rwanda,2024,0.2
Saudi Arabia,2024,0.05
Senegal,2024,0.18
Serbia,2024,0.13
Sierra Leone,2024,0.23
Singapore,2024,0.23
Slovakia,2024,0.21
Slovenia,2024,0.23
South Africa,2024,0.19
South Korea,2024,0.13
Spain,2024,0.25
Sri Lanka,2024,0.12
Sudan,2024,0.01
Suriname,2024,0.05
Sweden,2024,0.23
Switzerland,2024,0.36
Syria,2024,0.01
Taiwan,2024,0.1
Tanzania,2024,0.09
Thailand,2024,0.13
Togo,2024,0.19
Trinidad and Tobago,2024,0.06
Tunisia,2024,0.07
Turkey,2024,0.07
Uganda,2024,0.17
Ukraine,2024,0.08
United Arab Emirates,2024,0.08
United Kingdom,2024,0.4
United States,2024,0.18
Uruguay,2024,0.25
Uzbekistan,2024,0.04
Venezuela,2024,0.07
Vietnam,2024,0.08
Zambia,2024,0.02
