Entity,Year,Coal,Gas,Hydro,Solar,Wind,Oil,Nuclear,Other renewables
Australia,2026,64.794,56.184,,85.280,66.146,,,
Austria,2026,,,50.537,106.079,78.406,,,
Belgium,2026,,48.019,,118.306,77.377,,,
Brazil,2026,39.723,41.152,42.280,44.702,34.416,,,51.480
Canada,2026,,43.446,,73.840,47.490,,,
China,2026,33.666,49.650,,50.585,72.254,,53.450,
Denmark,2026,52.980,53.198,,68.503,43.289,,,113.525
Finland,2026,,,,,46.354,,,
France,2026,,,,73.484,75.011,,34.814,149.318
Germany,2026,,,9.730,,,,,
Hungary,2026,,,,100.403,,,,
India,2026,44.307,,45.969,35.299,37.160,,35.467,58.842
Italy,2026,,43.813,119.965,103.921,175.495,,,108.125
Japan,2026,53.019,53.070,131.737,195.904,174.960,,68.690,
"Korea, Republic of",2026,33.088,53.469,,96.437,141.072,,39.363,
Mexico,2026,,22.672,,,,,,
Netherlands,2026,,,,83.256,41.870,,,
Norway,2026,,,39.691,138.257,31.573,,,98.562
Romania,2026,142.686,57.943,,,,,,
Russian Federation,2026,,,,,72.011,,34.154,
Slovakia,2026,,46.490,,,,,84.547,
Sweden,2026,,,,,,,20.311,
Switzerland,2026,,,,,,,22.076,
United States of America,2026,75.022,40.289,90.447,98.392,71.950,,35.990,72.487
