year,sea_level_anomaly_mm,source_type
1993,-19.405,observed
1994,-14.708,observed
1995,-9.286,observed
1996,-5.738,observed
1997,-1.731,observed
1998,-2.628,observed
1999,-3.594,observed
2000,0.677,observed
2001,6.013,observed
2002,8.044,observed
2003,10.950,observed
2004,12.597,observed
2005,14.896,observed
2006,17.988,observed
2007,18.137,observed
2008,22.563,observed
2009,25.777,observed
2010,27.134,observed
2011,25.427,observed
2012,36.346,observed
2013,37.109,observed
2014,41.004,observed
2015,49.724,observed
2016,53.438,observed
2017,52.952,observed
2018,56.610,observed
2019,63.005,observed
2020,65.719,observed
2021,69.321,observed
2022,72.998,observed
2023,78.502,observed
2024,81.901,observed
2025,83.040,observed
2026,83.696,estimated_from_trend_3p11_mm_per_year
