Entity,Year,Coal,Gas,Hydro,Solar,Wind,Oil,Nuclear,Other renewables
Australia,2025,69.330,57.588,,85.280,66.146,,,
Austria,2025,,,50.537,106.079,78.406,,,
Belgium,2025,,49.219,,118.306,77.377,,,
Brazil,2025,42.504,42.181,42.280,44.702,34.416,,,51.480
Canada,2025,,44.532,,73.840,47.490,,,
China,2025,36.023,50.891,,50.585,72.254,,53.450,
Denmark,2025,56.689,54.528,,68.503,43.289,,,113.525
Finland,2025,,,,,46.354,,,
France,2025,,,,73.484,75.011,,34.814,149.318
Germany,2025,,,9.730,,,,,
Hungary,2025,,,,100.403,,,,
India,2025,47.408,,45.969,35.299,37.160,,35.467,58.842
Italy,2025,,44.908,119.965,103.921,175.495,,,108.125
Japan,2025,56.730,54.396,131.737,195.904,174.960,,68.690,
"Korea, Republic of",2025,35.404,54.805,,96.437,141.072,,39.363,
Mexico,2025,,23.239,,,,,,
Netherlands,2025,,,,83.256,41.870,,,
Norway,2025,,,39.691,138.257,31.573,,,98.562
Romania,2025,152.674,59.391,,,,,,
Russian Federation,2025,,,,,72.011,,34.154,
Slovakia,2025,,47.652,,,,,84.547,
Sweden,2025,,,,,,,20.311,
Switzerland,2025,,,,,,,22.076,
United States of America,2025,80.274,41.296,90.447,98.392,71.950,,35.990,72.487
